Name,Location,Price,Region,Style,Likes
Zappy Cafe & Bar,銅鑼灣耀華街3號百樂中心13樓1303室,$101-200,港式,火鍋,102
616七桌子,"紅磡民泰街27-47號黃埔新邨J,K,L座地下B2號舖",$101-200,多國菜,樓上cafe,114
The Optimist,灣仔軒尼詩道239號地下至2樓,$201-400,港式,火鍋,46
喜來稀肉 Seorae,銅鑼灣登龍街41-51號金龍大廈地下3號舖及1樓,$101-200,西班牙菜,酒,67
The Americano,荔枝角長沙灣道883號億利工業中心1樓12室,$101-200,韓國菜,烤肉,134
浪人日本料理 Ronin Japanese Cuisine,中環威靈頓街2-8號威靈頓廣場M88 6樓,$201-400,西式,咖啡店,113
火鍋撚 Hot Pot Land,中環雲咸街46-48號雲明行3樓,$201-400,日本菜,壽司/刺身,79
瀧 Tempura Taki,中環威靈頓街33號The Loop 8樓,$401-800,港式,火鍋,107
明閣 Ming Court,旺角上海街555號香港康得思酒店6樓,$401-800,日本菜,壽司/刺身,227
翠林辣蟹舫 Greenland Spicy Crab,尖沙咀亞士厘道24-38號天星大廈1樓A號舖,$101-200,英國菜,無肉餐單,114
616牛肉火鍋專門店,西環皇后大道西384-386號三多大樓地下A號舖,$101-200,粵菜 (廣東),海鮮,87
泰道 Thai Dao,西貢大網仔路沙下村9號地舖,$201-400,港式,火鍋,84
Café Crêpe,中環威靈頓街15B號地舖,$51-100,泰國菜,海鮮,91
丼瀛 J-City,佐敦廟街188號地舖,$101-200,法國菜,All Day Breakfast,111
7E咖喱王 Khyber Pass Mess Club,尖沙咀彌敦道36-44號重慶大廈E座7樓E2室,$51-100,日本菜,壽司/刺身,203
Flâneur,佐敦官涌街3-5號煒亨大廈地舖,$101-200,印度菜,咖喱,94
Rosie's Cafe by cafe company,沙田沙田正街18號新城市廣場第三期3樓A305號舖,$101-200,多國菜,多國菜,84
火鍋煮場,深水埗福榮街14號地舖,$201-400,西式,咖啡店,85
Beerliner German Bar & Restaurant,葵芳興芳路223號新都會廣場5樓531-540店,$201-400,粵菜 (廣東),火鍋,73
LAB EAT Restaurant & Bar,旺角彌敦道700號T.O.P. This is Our Place 5樓502號舖,$201-400,德國菜,適合大夥人,88
Lex Coffee,西環堅尼地城卑路乍街100號地舖,$101-200,西式,海鮮,98
HOW,觀塘觀塘巧明街99號巧明工廠大廈3樓AB座,$101-200,西式,咖啡店,55
Amina Modern European,尖沙咀廣東道82-84號流尚坊8樓全層,$401-800,西式,漢堡包,111
小糖鈕 Sweet Button,尖沙咀堪富利士道6-6A號3樓,$51-100,西式,Fine Dining,88
一鳴燒 Amazing BBQ,銅鑼灣軒尼詩道525號澳門逸園中心10樓,$101-200,西式,甜品/糖水,108
鵜舞 UMAI,荔枝角長義街9號D2 Place一期地下2號舖,$101-200,日本菜,串燒,102
Mirror & Vegan Concept,中環皇后大道中118號9樓,$101-200,日本菜,日本菜,82
鮮一夜火鍋 One Night Pot,荃灣眾安街55號大鴻輝中心21樓B室,$201-400,意大利菜,素食,83
Westwood Carvery,中環蘭桂坊和安里2號地舖,$201-400,港式,火鍋,89
Bostonian Seafood & Grill,尖沙咀北京道8號香港朗廷酒店低層大堂,$401-800,美國菜,酒,139
Cafe Siam,中環德己立街21號The Plaza 2-3樓,$101-200,多國菜,海鮮,92
Layback Cafe & Bar,尖沙咀加連威老道41號C-D嘉威大厦4樓B室,$101-200,泰國菜,海鮮,89
焱手工涮涮鍋 Yan Handcraft Hotpot,旺角彌敦道558-560號譽發廣場3樓,$201-400,港式,甜品/糖水,173
養心殿台式養生鍋,荃灣眾安街55號大鴻輝(荃灣)中心17樓,$201-400,台灣菜,火鍋,161
LCB express,銅鑼灣駱克道487-489號駱克駅3樓,$101-200,台灣菜,火鍋,10
Sky726,旺角彌敦道724-726號25樓,$201-400,西式,沙律,367
Running 燒 Running BBQ,旺角彌敦道726號9樓,$201-400,法國菜,甜品/糖水,388
The Food Gallery,尖沙咀北京道8號香港朗廷酒店大堂,$401-800,韓國菜,自助餐,102
Mirror & Vegan Concept,中環皇后大道中118號9樓,$101-200,西式,自助餐,82
Aberdeen Street,中環蘇豪鴨巴甸街41-49號金豪大廈地下1號舖,$201-400,意大利菜,素食,69
