,Rank,Song,Artist,Year
3275,76,whats on tonight,montell jordan,1997
3276,77,secret garden,bruce springsteen,1997
3277,78,the one i gave my heart to,aaliyah,1997
3278,79,fly like an eagle,seal,1997
3279,80,no time,lil kim featuring puff daddy,1997
3280,81,naked eye,luscious jackson,1997
3281,82,macarena bayside boys mix,los del r'io,1997
3282,83,on  on,erykah badu,1997
3283,84,dont wanna be a player,joe,1997
3284,85,i shot the sheriff,warren g,1997
3285,86,you should be mine dont waste your time,brian mcknight featuring mase,1997
3286,87,dont cry for me argentina,madonna,1997
3287,88,someone,swv and puff daddy,1997
3288,89,go the distance,michael bolton,1997
3289,90,one more time,real mccoy,1997
3290,91,butta love,next,1997
3291,92,coco jambo,mr president,1997
3292,93,twisted,keith sweat,1997
3293,94,barbie girl,aqua,1997
3294,95,when youre gone  free to decide,the cranberries,1997
3295,96,let me clear my throat,dj kool,1997
3296,97,i like it,the blackout allstars,1997
3297,98,youre makin me high  let it flow,toni braxton,1997
3298,99,you must love me,madonna,1997
3299,100,let it go,ray j,1997
3300,1,too close,next,1998
3301,2,the boy is mine,brandy and monica,1998
3302,3,youre still the one,shania twain,1998
3303,4,truly madly deeply,savage garden,1998
3304,5,how do i live,leann rimes,1998
3305,6,together again,janet,1998
3306,7,all my life,kci  jojo,1998
3307,8,candle in the wind 1997,elton john,1998
3308,9,nice  slow,usher,1998
3309,10,i dont want to wait,paula cole,1998
3310,11,hows it going to be,third eye blind,1998
3311,12,no no no,destinys child,1998
3312,13,my heart will go on,celine dion,1998
3313,14,gettin jiggy wit it,will smith,1998
3314,15,you make me wanna,usher,1998
3315,16,my way,usher,1998
3316,17,my all,mariah carey,1998
3317,18,the first night,monica,1998
3318,19,been around the world,puff daddy featuring the notorious big and mase,1998
3319,20,adia,sarah mclachlan,1998
3320,21,crush,jennifer paige,1998
3321,22,everybody backstreets back,backstreet boys,1998
3322,23,i dont want to miss a thing,aerosmith,1998
3323,24,body bumpin yippieyiyo,public announcement,1998
3324,25,this kiss,faith hill,1998
3325,26,i dont ever want to see you again,uncle sam,1998
3326,27,lets ride,montell jordan featuring master p and silkk the shocker,1998
3327,28,sex and candy,marcy playground,1998
3328,29,show me love,robyn,1998
3329,30,a song for mama,boyz ii men,1998
3330,31,what you want,mase featuring total,1998
3331,32,frozen,madonna,1998
3332,33,gone till november,wyclef jean,1998
3333,34,my body,lsg,1998
3334,35,tubthumping,chumbawamba,1998
3335,36,deja vu uptown baby,lord tariq and peter gunz,1998
3336,37,i want you back,n sync,1998
3337,38,when the lights go out,five,1998
3338,39,they dont know,jon b,1998
3339,40,make em say uhh,master p featuring fiend silkk the shocker mia x and mystikal,1998
3340,41,make it hot,nicole featuring missy elliott and mocha,1998
3341,42,never ever,all saints,1998
3342,43,i get lonely,janet jackson featuring blackstreet,1998
3343,44,feel so good,mase featuring kelly price,1998
3344,45,say it,voices of theory,1998
3345,46,kiss the rain,billie myers,1998
3346,47,come with me,puff daddy featuring jimmy page,1998
3347,48,romeo and juliet,sylke fyne featuring chill,1998
3348,49,its all about me,m'ya and sisqo,1998
3349,50,i will come to you,hanson,1998
3350,51,one week,barenaked ladies,1998
3351,52,swing my way,k p  envyi,1998
3352,53,the arms of the one who loves you,xscape,1998
3353,54,my love is the shhh,somethin for the people featuring trina  tamara,1998
3354,55,daydreamin,tatyana ali,1998
3355,56,were not making love no more,dru hill,1998
3356,57,semicharmed life,third eye blind,1998
3357,58,i do,lisa loeb,1998
3358,59,lookin at me,mase featuring puff daddy,1998
3359,60,looking through your eyes,leann rimes,1998
3360,61,lately,divine,1998
3361,62,quit playing games with my heart,backstreet boys,1998
3362,63,i still love you,next,1998
3363,64,time after time,inoj,1998
3364,65,are you jimmy ray,jimmy ray,1998
3365,66,cruel summer,ace of base,1998
3366,67,i got the hook up,master p featuring sons of funk,1998
3367,68,victory,puff daddy featuring the notorious big and busta rhymes,1998
3368,69,too much,spice girls,1998
3369,70,ghetto supastar that is what you are,pras michel featuring ol dirty bastard and m'ya,1998
3370,71,how deep is your love,dru hill featuring redman,1998
3371,72,friend of mine,kelly price featuring r kelly and ron isley,1998
3372,73,turn it up remixfire it up,busta rhymes,1998
3373,74,ill be,edwin mccain,1998
3374,75,ray of light,madonna,1998
3375,76,all for you,sister hazel,1998
3376,77,touch it,monifah,1998
3377,78,money power  respect,the lox featuring dmx and lil kim,1998
3378,79,bitter sweet symphony,the verve,1998
3379,80,dangerous,busta rhymes,1998
3380,81,spice up your life,spice girls,1998
3381,82,because of you,98 degrees,1998
3382,83,the mummers dance,loreena mckennitt,1998
3383,84,all cried out,allure featuring 112,1998
3384,85,still not a player,big pun featuring joe,1998
3385,86,the one i gave my heart to,aaliyah,1998
3386,87,foolish games  you were meant for me,jewel,1998
3387,88,love you down,inoj,1998
3388,89,do for love,2pac featuring eric williams,1998
3389,90,raise the roof,luke featuring no good but so good,1998
3390,91,heaven,nu flavor,1998
3391,92,the party continues,jermaine dupri featuring da brat and usher,1998
3392,93,sock it 2 me,missy elliott featuring da brat,1998
3393,94,butta love,next,1998
3394,95,a rose is still a rose,aretha franklin,1998
3395,96,4 seasons of loneliness,boyz ii men,1998
3396,97,father,ll cool j,1998
3397,98,thinkin bout it,gerald levert,1998
3398,99,nobodys supposed to be here,deborah cox,1998
3399,100,westside,tq,1998
3400,1,believe,cher,1999
3401,2,no scrubs,tlc,1999
3402,3,angel of mine,monica,1999
3403,4,heartbreak hotel,whitney houston featuring faith evans and kelly price,1999
3404,5,baby one more time,britney spears,1999
3405,6,kiss me,sixpence none the richer,1999
3406,7,genie in a bottle,christina aguilera,1999
3407,8,every morning,sugar ray,1999
3408,9,nobodys supposed to be here,deborah cox,1999
3409,10,livin la vida loca,ricky martin,1999
3410,11,where my girls at,702,1999
3411,12,if you had my love,jennifer lopez,1999
3412,13,slide,goo goo dolls,1999
3413,14,have you ever,brandy,1999
3414,15,i want it that way,backstreet boys,1999
3415,16,im your angel,r kelly and celine dion,1999
3416,17,all star,smash mouth,1999
3417,18,angel,sarah mclachlan,1999
3418,19,smooth,santana featuring rob thomas,1999
3419,20,unpretty,tlc,1999
3420,21,bills bills bills,destinys child,1999
3421,22,save tonight,eagleeye cherry,1999
3422,23,last kiss,pearl jam,1999
3423,24,fortunate,maxwell,1999
3424,25,all i have to give,backstreet boys,1999
3425,26,bailamos,enrique iglesias,1999
3426,27,whats it gonna be,busta rhymes featuring janet,1999
3427,28,what its like,everlast,1999
3428,29,fly away,lenny kravitz,1999
3429,30,someday,sugar ray,1999
3430,31,lately,divine,1999
3431,32,that dont impress me much,shania twain,1999
3432,33,wild wild west,will smith featuring dru hill and kool moe dee,1999
3433,34,scar tissue,red hot chili peppers,1999
3434,35,heartbreaker,mariah carey featuring jayz,1999
3435,36,i still believe,mariah carey,1999
3436,37,the hardest thing,98 degrees,1999
3437,38,summer girls,lfo,1999
3438,39,can i get a,jayz featuring amil and ja rule,1999
3439,40,jumper,third eye blind,1999
3440,41,doo wop that thing,lauryn hill,1999
3441,42,mambo no 5,lou bega,1999
3442,43,sweet lady,tyrese,1999
3443,44,its not right but its okay,whitney houston,1999
3444,45,god must have spent a little more time on you,n sync,1999
3445,46,lullaby,shawn mullins,1999
3446,47,anywhere,112 featuring lil zane,1999
3447,48,tell me its real,kci  jojo,1999
3448,49,back 2 good,matchbox 20,1999
3449,50,808,blaque,1999
3450,51,shes so high,tal bachman,1999
3451,52,shes all i ever had,ricky martin,1999
3452,53,miami,will smith,1999
3453,54,hands,jewel,1999
3454,55,who dat,jt money featuring sole,1999
3455,56,please remember me,tim mcgraw,1999
3456,57,from this moment on,shania twain,1999
3457,58,love like this,faith evans,1999
3458,59,you,jesse powell,1999
3459,60,trippin,total featuring missy elliott,1999
3460,61,if you,silk,1999
3461,62,exfactor,lauryn hill,1999
3462,63,give it to you,jordan knight,1999
3463,64,black balloon,goo goo dolls,1999
3464,65,spend my life with you,eric benet featuring tamia,1999
3465,66,these are the times,dru hill,1999
3466,67,i dont want to miss a thing,mark chesnutt,1999
3467,68,i do cherish you,98 degrees,1999
3468,69,because of you,98 degrees,1999
3469,70,one,creed,1999
3470,71,chantes got a man,chante moore,1999
3471,72,happily ever after,case,1999
3472,73,my love is your love,whitney houston,1999
3473,74,all night long,faith evans featuring puff daddy,1999
3474,75,back that azz up,juvenile featuring mannie fresh and lil wayne,1999
3475,76,almost doesnt count,brandy,1999
3476,77,man i feel like a woman,shania twain,1999
3477,78,steal my sunshine,len,1999
3478,79,i need to know,marc anthony,1999
3479,80,so anxious,ginuwine,1999
3480,81,faded pictures,case featuring joe,1999
3481,82,back at one,brian mcknight,1999
3482,83,when a womans fed up,r kelly,1999
3483,84,how forever feels,kenny chesney,1999
3484,85,amazed,lonestar,1999
3485,86,sometimes,britney spears,1999
3486,87,ghetto cowboy,mo thugs,1999
3487,88,out of my head,fastball,1999
3488,89,hard knock life ghetto anthem,jayz,1999
3489,90,jamboree,naughty by nature featuring zhane,1999
3490,91,take me there,blackstreet featuring m'ya mase and blinky blink,1999
3491,92,stay the same,joey mcintyre,1999
3492,93,a lesson in leavin,jo dee messina,1999
3493,94,iris,goo goo dolls,1999
3494,95,satisfy you,puff daddy featuring r kelly,1999
3495,96,better days and the bottom drops out,citizen king,1999
3496,97,music of my heart,n sync and gloria estefan,1999
3497,98,write this down,george strait,1999
3498,99,when you believe,whitney houston and mariah carey,1999
3499,100,god must have spent a little more time on you,alabama and n sync,1999
3500,1,breathe,faith hill,2000
3501,2,smooth,santana featuring rob thomas,2000
3502,3,maria maria,santana featuring the product gb,2000
3503,4,i wanna know,joe,2000
3504,5,everything you want,vertical horizon,2000
3505,6,say my name,destinys child,2000
3506,7,i knew i loved you,savage garden,2000
3507,8,amazed,lonestar,2000
3508,9,bent,matchbox twenty,2000
3509,10,he wasnt man enough,toni braxton,2000
3510,11,higher,creed,2000
3511,12,try again,aaliyah,2000
3512,13,jumpin jumpin,destinys child,2000
3513,14,thong song,sisqo,2000
3514,15,kryptonite,3 doors down,2000
3515,16,there you go,pink,2000
3516,17,music,madonna,2000
3517,18,doesnt really matter,janet jackson,2000
3518,19,what a girl wants,christina aguilera,2000
3519,20,back at one,brian mcknight,2000
3520,21,bye bye bye,n sync,2000
3521,22,you sang to me,marc anthony,2000
3522,23,i need to know,marc anthony,2000
3523,24,get it on tonite,montell jordan,2000
3524,25,incomplete,sisqo,2000
3525,26,i try,macy gray,2000
3526,27,its gonna be me,n sync,2000
3527,28,thats the way it is,celine dion,2000
3528,29,country grammar hot shit,nelly,2000
3529,30,bring it all to me,blaque,2000
3530,31,show me the meaning of being lonely,backstreet boys,2000
3531,32,hot boyz,missy elliott featuring nas eve and qtip,2000
3532,33,back here,bbmak,2000
3533,34,it feels so good,sonique,2000
3534,35,absolutely story of a girl,nine days,2000
3535,36,with arms wide open,creed,2000
3536,37,be with you,enrique iglesias,2000
3537,38,come on over baby all i want is you,christina aguilera,2000
3538,39,no more,ruff endz,2000
3539,40,all the small things,blink 182,2000
3540,41,the way you love me,faith hill,2000
3541,42,i turn to you,christina aguilera,2000
3542,43,never let you go,third eye blind,2000
3543,44,i need you,leann rimes,2000
3544,45,thank god i found you,mariah carey featuring joe and 98 degrees,2000
3545,46,lets get married,jagged edge,2000
3546,47,my love is your love,whitney houston,2000
3547,48,then the morning comes,smash mouth,2000
3548,49,blue da ba dee,eiffel 65,2000
3549,50,desert rose,sting featuring cheb mami,2000
3550,51,the real slim shady,eminem,2000
3551,52,most girls,pink,2000
3552,53,wifey,next,2000
3553,54,wonderful,everclear,2000
3554,55,oops i did it again,britney spears,2000
3555,56,i wanna love you forever,jessica simpson,2000
3556,57,give me just one night una noche,98 degrees,2000
3557,58,take a picture,filter,2000
3558,59,otherside,red hot chili peppers,2000
3559,60,big pimpin,jayz featuring ugk,2000
3560,61,a puro dolor,son by four,2000
3561,62,he cant love u,jagged edge,2000
3562,63,separated,avant,2000
3563,64,i wish,carl thomas,2000
3564,65,u know whats up,donell jones,2000
3565,66,faded,souldecision featuring thrust,2000
3566,67,only god knows why,kid rock,2000
3567,68,shake ya ass,mystikal,2000
3568,69,bag lady,erykah badu,2000
3569,70,meet virginia,train,2000
3570,71,party up up in here,dmx,2000
3571,72,case of the ex,m'ya,2000
3572,73,forgot about dre,dr dre featuring eminem,2000
3573,74,thats the way,jo dee messina,2000
3574,75,swear it again,westlife,2000
3575,76,the next episode,dr dre featuring snoop dogg,2000
3576,77,from the bottom of my broken heart,britney spears,2000
3577,78,crash and burn,savage garden,2000
3578,79,yes,chad brock,2000
3579,80,the best day,george strait,2000
3580,81,where i wanna be,donell jones,2000
3581,82,how do you like me now,toby keith,2000
3582,83,my best friend,tim mcgraw,2000
3583,84,broadway,goo goo dolls,2000
3584,85,whatchu like,da brat featuring tyrese,2000
3585,86,dont think im not,kandi,2000
3586,87,i hope you dance,lee ann womack,2000
3587,88,better off alone,alice deejay,2000
3588,89,dance with me,debelah morgan,2000
3589,90,what about now,lonestar,2000
3590,91,i like it,sammie,2000
3591,92,247,kevon edmonds,2000
3592,93,girl on tv,lfo,2000
3593,94,bounce with me,lil bow wow featuring xscape,2000
3594,95,cowboy take me away,dixie chicks,2000
3595,96,i dont wanna,aaliyah,2000
3596,97,independent women,destinys child,2000
3597,98,gotta tell you,samantha mumba,2000
3598,99,waiting for tonight,jennifer lopez,2000
3599,100,shackles praise you,mary mary,2000
3600,1,hanging by a moment,lifehouse,2001
3601,2,fallin,alicia keys,2001
3602,3,all for you,janet,2001
3603,4,drops of jupiter tell me,train,2001
3604,5,im real,jennifer lopez featuring ja rule,2001
3605,6,if youre gone,matchbox twenty,2001
3606,7,let me blow ya mind,eve featuring gwen stefani,2001
3607,8,thank you,dido,2001
3608,9,again,lenny kravitz,2001
3609,10,independent women,destinys child,2001
3610,11,hit em up style oops,blu cantrell,2001
3611,12,it wasnt me,shaggy featuring rikrok,2001
3612,13,stutter,joe featuring mystikal,2001
3613,14,its been awhile,staind,2001
3614,15,u remind me,usher,2001
3615,16,where the party at,jagged edge featuring nelly,2001
3616,17,angel,shaggy,2001
3617,18,ride wit me,nelly featuring city spud,2001
3618,19,follow me,uncle kracker,2001
3619,20,peaches  cream,112,2001
3620,21,drive,incubus,2001
3621,22,what would you do,city high,2001
3622,23,survivor,destinys child,2001
3623,24,lady marmalade,christina aguilera lil kim m'ya and pink,2001
3624,25,ms jackson,outkast,2001
3625,26,love dont cost a thing,jennifer lopez,2001
3626,27,the way you love me,faith hill,2001
3627,28,he loves u not,dream,2001
3628,29,butterfly,crazy town,2001
3629,30,put it on me,ja rule featuring lil mo and vita,2001
3630,31,family affair,mary j blige,2001
